# Data format: "%float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
-0.00226,-0.03605,-0.02731
-0.01689,0.01375,-0.04288
0.00908,-0.03943,-0.03112
0.01313,-0.01953,-0.04794
-0.01232,-0.01819,-0.02802
-0.02043,-0.01801,-0.02978
-0.00016,-0.01228,-0.01506
-0.00399,-0.00959,-0.02658
-0.00271,-0.05069,-0.02692
0.00295,-0.03076,-0.04128
0.00243,-0.01891,-0.03760
-0.01006,-0.03034,-0.03985
-0.01297,-0.01544,-0.03466
-0.00156,-0.02207,-0.04892
-0.00933,-0.03017,-0.03334
-0.01448,-0.03253,-0.01950
0.01888,0.00950,-0.05203
0.00239,-0.03126,-0.05832
0.01358,0.00128,-0.03804
-0.00014,-0.03407,-0.05665
0.02115,0.01296,-0.03261
0.00187,-0.01323,-0.04425
0.01344,-0.03399,-0.04100
0.02539,-0.01069,-0.03504
0.02827,-0.02560,-0.04021
0.00062,-0.04477,-0.02209
-0.01216,-0.00615,-0.01776
-0.01669,-0.01307,-0.05661
0.02133,-0.03384,-0.02861
0.01515,-0.02192,-0.02823
0.01424,0.00765,-0.02102
0.01013,-0.02461,-0.02496
0.01105,-0.02801,-0.03948
0.01378,-0.00699,-0.02055
-0.01770,-0.02966,-0.02434
0.00184,-0.02410,-0.01612
-0.02171,-0.03282,-0.03569
0.01160,-0.00134,-0.02970
0.01592,-0.05766,-0.04579
-0.02320,0.00243,-0.03515
-0.02455,-0.04441,-0.03374
0.00223,-0.01890,-0.03740
-0.01419,-0.01496,-0.01984
0.00036,-0.02771,-0.03957
-0.01010,-0.03829,-0.01174
0.01930,-0.01323,-0.02756
-0.00771,-0.02135,-0.03092
0.00493,-0.02405,-0.01116
0.00007,-0.02706,-0.01845
0.00218,-0.03889,-0.01969
-0.00652,-0.00979,-0.03535
0.00369,-0.02797,-0.04521
-0.01158,0.02019,-0.01845
-0.00895,-0.02966,-0.01609
-0.02069,-0.05653,-0.04306
-0.00204,-0.02759,-0.03802
0.01323,0.00487,-0.01687
-0.00143,-0.00092,-0.02827
-0.00643,-0.00979,-0.03540
-0.01124,-0.01280,-0.04271
0.02230,-0.02813,-0.03281
-0.00056,-0.02724,-0.02503
-0.01523,-0.02978,-0.02599
0.00464,-0.01252,-0.01812
0.03943,-0.02571,-0.03351
-0.00508,-0.01855,-0.03273
-0.00429,-0.02780,-0.04709
-0.01149,-0.02159,-0.04251
0.00470,0.00747,-0.03586
0.00217,-0.00477,-0.05500
0.00671,-0.00728,-0.03700
-0.00571,-0.03578,-0.02165
0.01000,-0.03697,-0.04576
-0.00097,-0.02514,-0.05277
-0.01255,-0.00876,-0.00710
0.01679,-0.03928,-0.01875
-0.00630,-0.02718,-0.02838
-0.01497,0.00192,-0.04405
-0.00309,-0.00095,-0.03075
0.00226,-0.01597,-0.03753
0.01111,-0.00980,-0.01891
0.01709,-0.01376,-0.04715
-0.00571,-0.03611,-0.03215
-0.02372,-0.00896,-0.02433
0.00845,-0.01846,-0.01711
0.01278,-0.03919,-0.01968
-0.01452,-0.03903,-0.04040
0.00984,-0.01341,-0.04251
0.00008,-0.03617,-0.02893
-0.01109,-0.01313,-0.05337
-0.00709,-0.00379,-0.03163
0.00662,-0.00403,-0.02654
-0.01011,-0.02123,-0.02947
-0.02801,-0.00384,-0.05297
0.00827,-0.03374,-0.03768
-0.00255,-0.01606,-0.04484
0.02202,-0.03723,-0.04302
-0.00286,-0.01541,-0.02372
0.00354,-0.00001,0.00687
-0.01486,-0.00961,-0.03692
0.00223,-0.02717,-0.01985
0.00476,-0.00437,-0.03920
-0.00796,-0.02459,-0.04120
-0.02043,-0.02986,-0.03304
-0.00709,-0.02474,-0.04522
0.00703,-0.00709,-0.03013
0.03181,0.00376,-0.03580
0.00163,-0.01060,-0.05449
-0.02294,-0.00943,-0.03861
0.02009,-0.00751,-0.03155
0.00021,0.00465,-0.03628
0.01244,-0.01886,-0.02645
0.00780,-0.02545,-0.05478
-0.01160,-0.03572,-0.02469
0.00468,-0.03932,-0.03166
0.03874,-0.01415,-0.04003
0.13447,0.05102,-0.12336
-0.19095,-0.04017,0.03592
-0.02038,-0.03603,-0.04854
-0.00142,0.01609,-0.05085
0.00292,-0.02240,-0.05959
0.01637,-0.01834,-0.00857
-0.00148,-0.02771,-0.04868
0.01496,-0.02512,-0.04144
0.02343,-0.06339,-0.03602
