# Data format: "%float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
0.02595,14.91875,4.97456
0.10709,14.60364,4.70907
0.02284,14.68301,4.89455
-0.16959,13.89672,4.65490
-0.11854,15.09682,4.57568
0.14034,14.60907,4.33593
-0.06948,14.38421,4.64630
-0.12692,14.73474,4.98522
0.41862,14.59504,4.54621
0.20293,14.29082,4.73331
0.08514,14.34847,4.44936
0.36078,14.52240,4.73151
-0.15902,14.52508,4.44385
-0.07059,14.38391,4.64729
0.40512,14.71825,4.71949
-0.12213,13.54395,4.64948
-0.00198,14.61538,4.70809
-0.07763,14.16325,4.79021
-0.31997,14.48111,4.51876
-0.00104,14.67826,4.93908
-0.31667,14.24674,5.05765
0.21305,14.35512,4.63347
0.07394,14.56601,4.96908
0.07308,14.50312,4.73810
-0.16179,14.60307,4.89775
-0.14312,14.59066,4.96320
-0.20476,14.15641,4.60677
-0.36806,14.72365,4.90694
-0.26307,14.41281,4.59848
-0.20601,14.90878,4.56636
-0.03721,14.76614,5.03858
-0.12659,14.37427,5.06316
0.06196,14.32911,5.21913
-0.01617,14.56626,5.03057
-0.03043,14.59512,4.85731
0.46354,14.49385,4.84155
-0.33494,14.43219,4.84055
-0.55639,14.44046,4.94219
-0.09068,14.31854,5.07694
-0.10740,14.56650,5.09208
-0.15765,14.79265,4.63798
0.03425,14.62272,4.95226
-0.34162,14.77620,4.87028
0.23172,14.54747,4.66204
-0.05988,14.21433,5.08481
0.28321,14.60355,4.58502
-0.01530,15.33513,4.88222
0.43550,14.67754,4.95662
0.19507,13.88271,4.80287
0.37548,14.05545,4.52788
0.18352,14.57043,4.86347
-0.42157,14.87164,4.94906
0.28935,14.32220,4.78699
0.13702,14.27974,4.53066
0.33968,15.02103,5.05036
0.22261,14.65533,4.61325
-0.27053,14.03573,4.78448
-0.01528,14.09603,4.54020
0.03884,14.63854,4.84650
0.06708,14.62765,4.58085
0.04436,14.79603,4.47361
0.06018,14.97142,4.61150
-0.41928,14.65215,4.76196
-0.25116,14.83866,5.04043
0.14499,14.46892,4.27232
-0.14467,14.23030,5.04074
0.11334,14.52641,4.87619
0.10547,15.08958,5.09416
0.02482,14.69913,4.78784
-0.02201,14.84730,3.88003
0.08608,14.25521,4.72285
-0.18108,14.85111,4.91254
-0.20848,14.43877,5.02483
0.01900,14.51020,5.04540
-0.58403,14.67048,4.44630
0.22241,14.62389,4.49770
-0.28143,14.26889,4.57587
-0.54583,14.52093,5.68520
-0.25842,14.06915,4.56747
-0.40670,13.82386,4.96540
-0.53229,14.41307,4.78445
-0.25969,14.68028,4.79311
-0.23728,14.54322,5.01636
-0.14763,14.54325,4.95399
-0.66360,14.38990,4.70847
-0.32756,14.87208,4.88572
0.08772,14.47465,4.91007
-0.25155,14.57195,4.84349
0.04168,14.21586,4.69126
0.08803,14.53785,5.14015
-0.06188,13.80634,5.15402
0.24207,13.65575,4.63598
0.42682,14.69157,4.55939
0.12853,14.67091,4.89683
0.64318,14.33819,4.75824
0.18010,13.91194,4.62848
-0.04924,14.51476,5.06376
0.84026,14.81247,5.08233
0.22416,15.12750,4.77112
0.69327,14.45764,4.91114
-0.17311,14.65045,5.23342
-0.23581,14.15298,4.64665
0.09306,15.37128,4.89114
0.25828,14.50670,4.89957
-0.34662,14.87057,5.21629
0.46360,14.29140,4.54543
0.78378,14.34745,4.28240
-0.02978,14.62752,4.64345
-0.12105,13.95319,5.19947
0.97823,14.89951,5.06095
-0.06687,14.15093,4.85528
-0.26055,14.72768,3.85255
0.46045,15.45108,5.38800
0.09526,14.47674,4.25122
0.31956,14.59465,4.61048
0.26712,14.46039,5.18367
-0.51532,14.58872,4.59442
-0.08868,14.28735,4.63419
0.25060,14.75449,4.58915
-0.02585,14.01581,4.41993
0.19611,14.77618,5.12038
0.04560,14.37333,4.94160
-0.12705,14.21728,4.15890
-0.03636,14.70357,4.48051
-0.38403,15.28547,5.12863
-0.02535,14.40781,4.45720
0.01550,14.57213,5.27924
-0.00687,13.87789,4.02274
-0.84285,14.64034,4.80975
-0.52501,14.80600,5.11490
-0.00716,14.59947,5.43713
0.34117,14.55062,4.56087
-0.61184,14.10092,4.60413
-0.53600,14.19267,4.59966
-0.47447,15.09695,4.49782
-0.12340,14.79813,4.88811
-0.27652,14.58306,4.78189
-0.52712,14.11573,4.76564
-0.58635,14.34039,4.64285
-0.55516,14.62798,4.68870
-0.35470,14.81989,4.59447
-0.03634,14.10760,4.47752
0.00777,14.68006,5.23009
-0.50165,14.29251,4.57297
0.05073,13.90349,4.45020
-0.03223,14.57882,4.63842
-0.35627,14.28687,4.82206
0.20962,14.71583,5.17823
0.02907,14.62146,4.95625
0.07135,14.66001,4.36745
-0.10196,15.28845,5.22964
-0.01553,14.56672,4.70284
-0.09839,14.36401,4.46911
-0.17427,14.78992,4.97287
0.12416,14.48183,4.82868
-0.03551,14.61059,4.75271
-0.14024,14.52963,5.02289
-0.06164,14.87245,4.37152
-0.32669,13.93238,4.52508
-0.08422,14.57103,4.72175
0.02236,14.38619,4.87475
0.24692,14.67681,5.08380
0.27735,14.93303,5.01398
0.27178,14.46181,4.85315
-0.31733,14.59322,4.42612
-0.19831,14.70837,4.55958
0.39554,14.65668,5.10872
0.30999,14.61025,4.83200
0.37833,14.90486,5.12321
0.20687,14.81170,4.57068
-0.17447,14.94841,4.59642
-0.12218,14.50317,4.86212
0.25534,14.52260,4.79398
0.43531,14.64871,5.13103
-0.00779,14.74301,4.83777
-0.31172,14.56472,5.54770
0.16522,14.13098,4.81752
-0.19992,14.41173,4.86533
-0.10889,14.11448,5.11139
0.10680,14.48196,5.15491
0.09963,14.26145,5.29747
-0.29283,14.63117,5.11466
0.22431,13.93847,5.05404
0.31145,14.69079,4.95170
0.45961,14.46616,5.01286
0.30582,14.18789,4.67602
-0.09347,14.43146,4.98226
-0.06811,14.57675,4.67389
-0.17425,14.35461,5.21013
0.06805,14.50691,5.02338
0.11999,14.53151,4.83095
-0.07844,14.96705,5.04306
-0.03081,14.05038,5.14870
-0.36626,14.42968,4.55014
-0.09799,14.83799,5.24425
-0.18342,14.30497,4.58430
-0.16073,14.66937,4.46444
-0.24345,14.38830,4.72756
0.03934,14.75148,4.75211
-0.17539,13.56888,4.51760
-0.25532,14.05649,4.63292
-0.09260,14.75926,4.79263
-1.20202,15.97426,3.84363
-0.50209,14.27949,4.96557
0.12350,15.29811,4.06653
-1.32706,14.77754,5.84414
0.38276,15.18722,4.59162
-0.21066,13.53046,4.15677
-0.17913,15.63739,5.27639
-0.74005,13.84510,4.73367
-0.02909,16.36923,5.26202
0.58737,14.34453,4.11941
-0.31772,14.93859,5.07487
0.10276,14.52627,4.87685
-0.30863,14.81409,4.28262
0.01302,14.49461,4.82405
-0.65257,14.45614,4.89760
-0.18656,14.28644,4.07589
0.13556,14.90825,5.26893
-0.34245,13.85193,4.73151
-0.02426,14.45625,4.46306
-0.05580,14.62337,4.68599
-0.48446,14.72040,4.68146
-0.22630,14.57797,5.09125
-0.18737,14.17676,4.45681
-0.22359,14.35888,4.90291
-0.19298,14.58366,4.71754
-0.00500,14.60126,5.10525
